Sequence;MOTU_GMYCm
ECCAJ270N23_Bosmina_Ecuador_BOLD_ACA6834;7
ECCAJ280N23_Bosmina_Ecuador_BOLD_ACA6834;7
ECCAJ305N23_Bosmina_Ecuador_BOLD_ACA6834;7
ECCAJ317N23_Bosmina_Ecuador_BOLD_ACA6834;7
ECCAJ480N23_Bosmina_Ecuador_BOLD_ACA6834;7
ECCAJ485N24_Bosmina_Ecuador_BOLD_ACA6834;7
ECCAJ494N24_Bosmina_Ecuador_BOLD_ACA6834;7
KC616781_B_cf_liederi;7
KC616782_B_cf_liederi;7
KC616783_B_cf_liederi;7
KC616784_B_cf_liederi;7
KC616785_B_cf_liederi;7
KC617495_B_cf_liederi;7
KC617496_B_cf_liederi;7
KC617497_B_cf_liederi;7
KC617498_B_cf_liederi;7
KC617499_B_cf_liederi;7
KU315493_B_freyi;7
LC215481_B_sp;7
KY091157_B_sp_Taihuzoo;8
LC215471_B_fatalis;8
LC215472_B_fatalis;8
LC215473_B_fatalis;8
LC215474_B_fatalis;8
LC215475_B_fatalis;8
MW770308_B_fatalis;8
ANDEA005N22_B_cf_korineki_Colombia_BOLD_AFG1465;9
ANDEA006N22_B_cf_korineki_Colombia_BOLD_AFG1465;9
ANDEA007N22_B_cf_korineki_Colombia_BOLD_AFG1465;9
ANDEA008N22_B_cf_korineki_Colombia_BOLD_AFG1465;9
ANDEA013N22_B_cf_korineki_Colombia_BOLD_AFG1465;9
ANDEA024N22_B_cf_korineki_Colombia_BOLD_AFG1465;9
ANDEA037N22_B_cf_korineki_Colombia_BOLD_AFG1465;9
ANDEA038N22_B_cf_korineki_Colombia_BOLD_AFG1465;9
ANDEA039N22_B_cf_korineki_Colombia_BOLD_AFG1465;9
ANDEA040N22_B_cf_korineki_Colombia_BOLD_AFG1465;9
ANDEA053N22_Bosmina_Colombia_BOLD_AFG0616;9
ANDEA054N22_Bosmina_Colombia_BOLD_AFG0616;9
ANDEA055N22_Bosmina_Colombia_BOLD_AFG0616;9
BCRUA087N10_Bosmina_United_States_BOLD_AAD9782;9
BCRUA088N10_Bosmina_United_States_BOLD_AAD9782;9
BCRUA159N10_Bosmina_United_States_BOLD_AAD9782;9
BCRUA161N10_Bosmina_United_States_BOLD_AAD9782;9
CAZUL101N17_B_tubicen_Mexico_BOLD_AAD9782;9
CAZUL102N17_B_tubicen_Mexico_BOLD_AAD9782;9
CAZUL104N17_B_tubicen_Mexico_BOLD_AAD9782;9
CAZUL105N17_B_tubicen_Mexico_BOLD_AAD9782;9
CAZUL191N17_B_tubicen_Mexico_BOLD_AAD9782;9
CAZUL192N17_B_tubicen_Mexico_BOLD_AAD9782;9
CAZUL193N17_B_tubicen_Mexico_BOLD_AAD9782;9
CAZUL194N17_B_tubicen_Mexico_BOLD_AAD9782;9
CAZUL195N17_B_tubicen_Mexico_BOLD_AAD9782;9
COAPP328N13_Bosmina_Canada_BOLD_ACF9023;9
COAPP329N13_Bosmina_Canada_BOLD_ACF9023;9
COAPP559N13_Bosmina_Canada_BOLD_ACF9023;9
EU702022_Eubosmina_tubicen;9
EU702023_Eubosmina_tubicen;9
EU702024_Eubosmina_tubicen;9
EU702025_Eubosmina_tubicen;9
EU702026_Eubosmina_tubicen;9
EXDB1873N21_B_tubicen_Mexico_BOLD_AAD9782;9
EXDB448N20_B_tubicen_Mexico_BOLD_AAD9782;9
EXDB579N21_B_tubicen_Mexico_BOLD_AAD9782;9
EXDB731N21_B_tubicen_Mexico_BOLD_AAD9782;9
EXDB732N21_B_tubicen_Mexico_BOLD_AAD9782;9
JN294865_Anomopoda_sp_BOLD_AAD9782;9
JN294866_Anomopoda_sp_BOLD_AAD9782;9
JN294889_Anomopoda_sp_BOLD_AAD9782;9
JN294890_Anomopoda_sp_BOLD_AAD9782;9
KC508661_B_meridionalis;9
KC508662_B_meridionalis;9
KC617008_Eubosmina_tubicen;9
KC617009_Eubosmina_tubicen;9
KC617010_Eubosmina_tubicen;9
KC617011_Eubosmina_tubicen;9
KC617012_Eubosmina_tubicen;9
KC617013_Eubosmina_tubicen;9
KC617494_Eubosmina_tubicen;9
KC617636_Eubosmina_tubicen;9
Liederobosmina_chilense_Argentina08a;9
Liederobosmina_chilense_Argentina08b;9
Liederobosmina_chilense_Argentina08c;9
Liederobosmina_chilense_Argentina08d;9
Liederobosmina_chilense_Argentina09a;9
Liederobosmina_chilense_Chile02a;9
Liederobosmina_Guatemala01a;9
Liederobosmina_Guatemala01b;9
Liederobosmina_Guatemala01c;9
Liederobosmina_Guatemala01d;9
Liederobosmina_Guatemala01e;9
Liederobosmina_meridionalis_Australia01a;9
Liederobosmina_meridionalis_Australia02a;9
Liederobosmina_meridionalis_Australia02b;9
Liederobosmina_Mexico02a;9
Liederobosmina_Mexico02b;9
Liederobosmina_Mexico03a;9
Liederobosmina_USA05a;9
Liederobosmina_USA08a;9
Liederobosmina_USA08b;9
Liederobosmina_USA11a;9
Liederobosmina_USA11b;9
Liederobosmina_USA11c;9
Liederobosmina_USA11d;9
Liederobosmina_USA11e;9
Liederobosmina_USA13a;9
Liederobosmina_USA14a;9
Liederobosmina_USA14b;9
Liederobosmina_USA20a;9
Liederobosmina_USA21a;9
Liederobosmina_USA21b;9
Liederobosmina_USA23a;9
MT888232_Eubosmina_tubicen;9
MT888247_Eubosmina_tubicen;9
MT888279_Eubosmina_tubicen;9
MT888325_Eubosmina_tubicen;9
MT888336_Eubosmina_tubicen;9
MT888361_Eubosmina_tubicen;9
MT888366_Eubosmina_tubicen;9
MT888464_Eubosmina_tubicen;9
MT888481_Eubosmina_tubicen;9
MZ517301_Eubosmina_tubicen;9
MZ517335_Eubosmina_tubicen;9
MZ517466_Eubosmina_tubicen;9
MZ517641_Eubosmina_tubicen;9
MZ517674_Eubosmina_tubicen;9
MZ517739_Eubosmina_tubicen;9
MZ517828_Eubosmina_tubicen;9
MZ517857_Eubosmina_tubicen;9
MZ517893_Eubosmina_tubicen;9
MZ517899_Eubosmina_tubicen;9
MZ517920_Eubosmina_tubicen;9
MZ517951_Eubosmina_tubicen;9
SKAAN072N19_B_tubicen_Mexico_BOLD_AAD9782;9
SKAAN074N19_B_tubicen_Mexico_BOLD_AAD9782;9
SKAAN075N19_B_tubicen_Mexico_BOLD_AAD9782;9
SKAAN126N19_B_tubicen_Mexico_BOLD_AAD9782;9
SKAAN128N19_B_tubicen_Mexico_BOLD_AAD9782;9
SKAAN305N19_B_tubicen_Mexico_BOLD_AAD9782;9
SKAAN316N19_B_tubicen_Mexico_BOLD_AAD9782;9
SKAAN737N19_B_tubicen_Mexico_BOLD_AAD9782;9
SKAAN742N19_B_tubicen_Mexico_BOLD_AAD9782;9
SKAAN872N19_B_tubicen_Mexico_BOLD_AAD9782;9
SKAAN883N19_B_tubicen_Mexico_BOLD_AAD9782;9
SKAAN890N19_B_tubicen_Mexico_BOLD_AAD9782;9
ZPLIV669N11_B_bosmina_tubicen_Mexico_BOLD_AAD9782;9
ZPLMX140N06_B_tubicen_Guatemala_BOLD_AAD9782;9
ZPLMX141N06_B_tubicen_Guatemala_BOLD_AAD9782;9
ZPLMX409N06_B_tubicen_Guatemala_BOLD_AAD9782;9
ZPLMX410N06_B_tubicen_Guatemala_BOLD_AAD9782;9
ZPLMX411N06_B_tubicen_Guatemala_BOLD_AAD9782;9
DQ310636_B_sp2_JRdWN2005;10
Liederobosmina_huaronensis_Argentina01a;10
Liederobosmina_huaronensis_Argentina02e;10
Liederobosmina_huaronensis_Argentina02f;10
Liederobosmina_huaronensis_Argentina04a;10
Liederobosmina_huaronensis_Argentina05a;10
Liederobosmina_huaronensis_Argentina06a;10
ZTITI005N23_Bosmina_Peru_BOLD_AAW7826;10
ZTITI007N23_Bosmina_Peru_BOLD_AAW7826;10
ZTITI008N23_Bosmina_Peru_BOLD_AAW7826;10
ZTITI024N23_Bosmina_Peru_BOLD_AAW7826;10
ZTITI039N23_Bosmina_Peru_BOLD_AAW7826;10
ZTITI044N23_Bosmina_Peru_BOLD_AAW7826;10
ZTITI089N23_Bosmina_Peru_BOLD_AAW7826;10
ZTITI168N24_Bosmina_Peru_BOLD_AAW7826;10
ZTITI170N24_Bosmina_Peru_BOLD_AAW7826;10
ZTITI171N24_Bosmina_Peru_BOLD_AAW7826;10
ZTITI172N24_Bosmina_Peru_BOLD_AAW7826;10
ZTITI200N25_Bosmina_Peru_BOLD_AAW7826;10
ZTITI265N25_Bosmina_Peru_BOLD_AAW7826;10
ZTITI268N25_Bosmina_Peru_BOLD_AAW7826;10
ZTITI289N25_Bosmina_Peru_BOLD_AAW7826;10
ZTITI290N25_Bosmina_Peru_BOLD_AAW7826;10
ZTITI314N25_Bosmina_Peru_BOLD_AAW7826;10
ZTITI331N25_Bosmina_Peru_BOLD_AAW7826;10
BACZP387N16_B_longirostris_Mexico_BOLD_AAD9496;11
BBCRU025N10_Bosmina_Canada_BOLD_AAV0686;11
COAPP312N13_Bosmina_Canada_BOLD_ABX4934;11
COAPP558N13_Bosmina_Canada_BOLD_ABX4934;11
EU702000_B_sp_BOLD_AAI4722;11
EU702001_B_sp_BOLD_AAI4722;11
EU702018_B_longirostris;11
EU702019_B_longirostris;11
EU702020_B_longirostris;11
HM883958_B_longirostris;11
HM883961_B_longirostris;11
HM883995_B_longirostris;11
HM883999_B_longirostris;11
JN290618_Anomopoda_sp_BOLD_AAV0686;11
JN290619_Anomopoda_sp_BOLD_AAV0686;11
JN290620_Anomopoda_sp_BOLD_AAV0686;11
JN290621_Anomopoda_sp_BOLD_AAV0686;11
JN290621_Anomopoda_sp_BOLD_AAV06865;11
JN290622_Anomopoda_sp_BOLD_AAV0686;11
KM611608_B_sp_BOLD_AAV0686;11
MG448688_B_longirostris;11
MG448689_B_longirostris;11
MG448838_B_longirostris;11
MG449713_B_longirostris;11
MG449850_B_longirostris;11
MG449851_B_longirostris;11
MG449952_B_longirostris;11
MG449967_B_longirostris_FREYI2_AK;11
MG449982_B_longirostris;11
MG450021_B_longirostris;11
MG450033_B_longirostris;11
MG450086_B_longirostris;11
MG450147_B_longirostris;11
ZPLCA001N06_Bosmina_Canada_BOLD_ABX4934;11
ZPLKA177N15_B_longirostris_Mexico_BOLD_AAD9496;11
ZPLV090N17_B_longirostris_Mexico_BOLD_AAD9496;11
ZPLV091N17_B_longirostris_Mexico_BOLD_AAD9496;11
ZPLV092N17_B_longirostris_Mexico_BOLD_AAD9496;11
ZPLV097N17_B_longirostris_Mexico_BOLD_AAD9496;11
ZPLV098N17_B_longirostris_Mexico_BOLD_AAD9496;11
ECCAJ304N23_B_huaronensis_Ecuador_BOLD_AFI2124;12
ECCAJ308N23_B_huaronensis_Ecuador_BOLD_AFI2124;12
ECCAJ388N23_B_huaronensis_Ecuador_BOLD_AFI2124;12
KC616787_Eubosmina_huaronensis;12
Liederobosmina_Mexico10a;12
ZPII1106N11_B_huaronensis_Mexico_BOLD_AAZ8987;12
BACZP386N16_B_huaronensis_Mexico_BOLD_AAB9669;13
BACZP388N16_B_huaronensis_Mexico_BOLD_AAB9669;13
EU702003_Eubosmina_huaronensis;13
EU702004_Eubosmina_huaronensis;13
EU702005_Eubosmina_huaronensis;13
EU702006_Eubosmina_huaronensis;13
