Sequence;MOTU_Ward
MG449315_B_liederi;29
MG449340_B_liederi;29
MG449357_B_liederi;29
MG449359_B_liederi;29
MG449386_B_liederi;29
MG449436_B_liederi;29
MG449478_B_liederi;29
MG449481_B_liederi;29
MG449492_B_liederi;29
MG449530_B_liederi;29
MG449575_B_liederi;29
MG449583_B_liederi;29
MG449668_B_liederi;29
MG449712_B_liederi;29
MG449716_B_liederi;29
MG449821_B_liederi;29
MG449857_B_liederi;29
MG449875_B_liederi;29
MG449888_B_liederi;29
MG449897_B_liederi;29
MG449969_B_liederi;29
MG449972_B_liederi;29
MG450047_B_liederi;29
MG450050_B_liederi;29
MG450151_B_liederi_AK;29
MG450153_B_liederi;29
MG450170_B_liederi;29
MG450174_B_liederi;29
MG450204_B_liederi;29
MG450208_B_liederi;29
MG450272_B_liederi;29
MG450291_B_liederi;29
MG450294_B_liederi;29
MG450318_B_liederi;29
OP830155_B_liederi;29
OP830311_B_liederi;29
DNARA1457N21_Bosmina_Canada_BOLD_AEN5568;30
DNARA1630N21_Bosmina_Canada_BOLD_AEN5568;30
DNARA1682N21_Bosmina_Canada_BOLD_AEN5568;30
DNARA1683N21_Bosmina_Canada_BOLD_AEN5568;30
DNARA1684N21_Bosmina_Canada_BOLD_AEN5568;30
DNARA1811N21_Bosmina_Canada_BOLD_AEN5568;30
DNARA1812N21_Bosmina_Canada_BOLD_AEN5568;30
LC215478_B_cf_longirostris;31
LC215479_B_cf_longirostris;31
LC215480_B_cf_longirostris;31
DNARA1652N21_Bosmina_Canada_BOLD_AEN5581;32
DNARA1820N21_Bosmina_Canada_BOLD_AEN5581;32
LC215477_B_cf_longirostris;33
MW786945_B_fatalis;33
BACZP387N16_B_longirostris_Mexico_BOLD_AAD9496;34
EU702018_B_longirostris;34
EU702019_B_longirostris;34
EU702020_B_longirostris;34
HM883958_B_longirostris;34
HM883961_B_longirostris;34
HM883995_B_longirostris;34
HM883999_B_longirostris;34
MG450147_B_longirostris;34
ZPLKA177N15_B_longirostris_Mexico_BOLD_AAD9496;34
ZPLV090N17_B_longirostris_Mexico_BOLD_AAD9496;34
ZPLV091N17_B_longirostris_Mexico_BOLD_AAD9496;34
ZPLV092N17_B_longirostris_Mexico_BOLD_AAD9496;34
ZPLV097N17_B_longirostris_Mexico_BOLD_AAD9496;34
ZPLV098N17_B_longirostris_Mexico_BOLD_AAD9496;34
COAPP312N13_Bosmina_Canada_BOLD_ABX4934;35
COAPP558N13_Bosmina_Canada_BOLD_ABX4934;35
MG448688_B_longirostris;35
MG448689_B_longirostris;35
MG448838_B_longirostris;35
MG449713_B_longirostris;35
MG449850_B_longirostris;35
MG449851_B_longirostris;35
MG449952_B_longirostris;35
MG449967_B_longirostris_FREYI2_AK;35
MG449982_B_longirostris;35
MG450021_B_longirostris;35
MG450033_B_longirostris;35
MG450086_B_longirostris;35
ZPLCA001N06_Bosmina_Canada_BOLD_ABX4934;35
BBCRU025N10_Bosmina_Canada_BOLD_AAV0686;36
JN290618_Anomopoda_sp_BOLD_AAV0686;36
JN290619_Anomopoda_sp_BOLD_AAV0686;36
JN290620_Anomopoda_sp_BOLD_AAV0686;36
JN290621_Anomopoda_sp_BOLD_AAV0686;36
JN290621_Anomopoda_sp_BOLD_AAV06865;36
JN290622_Anomopoda_sp_BOLD_AAV0686;36
KM611608_B_sp_BOLD_AAV0686;36
EU702000_B_sp_BOLD_AAI4722;37
EU702001_B_sp_BOLD_AAI4722;37
BBCRU249N12_Bosmina_Canada_BOLD_ACA6834;38
COAPP296N13_Bosmina_Canada_BOLD_ACA6834;38
COAPP303N13_Bosmina_Canada_BOLD_ACA6834;38
COAPP530N13_Bosmina_Canada_BOLD_ACA6834;38
ECCAJ025N23_Bosmina_Ecuador_BOLD_ACA6834;38
ECCAJ036N23_Bosmina_Ecuador_BOLD_ACA6834;38
ECCAJ039N23_Bosmina_Ecuador_BOLD_ACA6834;38
ECCAJ040N23_Bosmina_Ecuador_BOLD_ACA6834;38
ECCAJ051N23_Bosmina_Ecuador_BOLD_ACA6834;38
ECCAJ067N23_Bosmina_Ecuador_BOLD_ACA6834;38
ECCAJ114N23_Bosmina_Ecuador_BOLD_ACA6834;38
ECCAJ129N23_Bosmina_Ecuador_BOLD_ACA6834;38
ECCAJ131N23_Bosmina_Ecuador_BOLD_ACA6834;38
ECCAJ132N23_Bosmina_Ecuador_BOLD_ACA6834;38
ECCAJ133N23_Bosmina_Ecuador_BOLD_ACA6834;38
ECCAJ134N23_Bosmina_Ecuador_BOLD_ACA6834;38
ECCAJ136N23_Bosmina_Ecuador_BOLD_ACA6834;38
ECCAJ247N23_Bosmina_Ecuador_BOLD_ACA6834;38
ECCAJ268N23_Bosmina_Ecuador_BOLD_ACA6834;38
ECCAJ270N23_Bosmina_Ecuador_BOLD_ACA6834;38
